tarih,platform,metin,etkilesim
2026-06-17 17:00:30,X/Twitter,"En çok kullanılan yapay zekâ araçları belli oldu. ChatGPT'nin pazar payı düşüyor!   ChatGPT - %46,4  Gemini - %27,7  Claude - %10,3  Aylık aktif kullanıcı sayıları ise şu şekilde:  ChatGPT - 1,1 milyar   Gemini - 662 milyon  Claude - 245 milyon",172
2026-06-18 07:48:18,X/Twitter,"Toyota Türkiye, ülkemizdeki kullanıcıların ihtiyaçlarını karşılamak için tasarlanan ""Toya"" yapay zekâ danışmanını kullanıma sundu.  Toyota’nın web sitesi üzerinden erişilebilen Toya, kullanıcıların araçlar hakkında soru sormasına, modelleri karşılaştırmasına, bayilerde araç",15
2026-06-18 06:59:10,X/Twitter,Spider-Man: Brand New Day filminden yeni fragman geldi.  31 Temmuz'da sinemalarda vizyona girecek.,34
2026-06-17 12:00:30,X/Twitter,"Türkiye'nin ilk insansı robot fabrikası kuruluyor!   DOF Robotics, İstanbul Arnavutköy’deki Kuzey Marmara Özel Endüstri Bölgesi’nde Türkiye’nin ilk entegre hizmet ve insansı robot üretim tesisi olacak DOF TECH fabrikasını kuracağını duyurdu.   25 milyon dolarlık yatırımla",32
2026-06-17 08:17:25,X/Twitter,"2026 FIFA Dünya Kupası yayınlarını ciddi anlamda etkileyecek bir güvenlik açığı keşfedildi!   Bir siber güvenlik araştırmacısı, FIFA Agent Platform’a standart kullanıcı olarak kayıt olduktan sonra FIFA’nın kurumsal kimlik sistemine dâhil edildiğini fark etti.   Bu hesapla",54
2026-06-17 11:27:00,X/Twitter,"iPhone 18 daha yüksek RAM'le gelecek ama fiyatı aynı kalacak!   Apple’ın 2027 başında tanıtması beklenen düz iPhone 18’in RAM kapasitesinin 12 GB’a çıkarılacağı iddia edildi.    DigiTimes’a göre bu artış, gelişmiş yapay zekâ ve yeni Siri özellikleri için yapılacak. En dikkat",76
2026-06-17 10:00:30,X/Twitter,"Clash of Clans’ta 7 yıl sonra küresel sohbet geri döndü!  2019 yılında kaldırılan özellik, bugün itibarıyla yeniden oyuna eklendi. Ancak sistem bu kez bazı değişikliklerle geliyor: Artık küresel sohbete katılmak için bir sohbet grubu oluşturmak ya da mevcut bir gruba dahil olmak",28
2026-06-16 10:02:48,X/Twitter,"Yeni Hyundai i20, baştan aşağı değişen tasarımıyla tanıtıldı!   Şimdilik Brezilya’ya özel olarak üretilecek bu model, ileride Türkiye dahil global pazarlara gelecek yeni i20 için ön izleme niteliği taşıyor.   Yeni i20, klasik hatchback görünümünden uzaklaşıp daha köşeli,",48
2026-06-17 09:00:03,X/Twitter,"Steam Workshop üzerinden Wallpaper Engine uygulaması kullanılarak kötü amaçlı yazılım yayılıyor.   Kaspersky’ye göre saldırganlar, Steam Workshop’a zararlı “duvar kâğıdı” paketleri yüklüyor. Özellikle uygulama tipi wallpaper özelliği kötüye kullanılıyor; çünkü bu tür duvar",66
2026-06-17 07:28:49,X/Twitter,"SpaceX, yapay zekâ kodlama şirketi Cursor'u 60.000.000.000 dolara satın almayı planlıyor.  Cursor, SpaceX’in yapay zekâ departmanını güçlendirecek ve şirketin büyük yapay zekâ firmalarıyla rekabetine katkı sağlayacak. Elon Musk’ın bu satın alma için aylardır girişimde bulunduğu,",25
2026-06-16 12:00:02,X/Twitter,"iPhone 18'in gelecek yıla erteleneceğine dair iddialar güçlendi.   Apple’ın tedarikçilerinden Largan Precision’ın başkanı, büyük bir ABD’li müşterilerinin yeni model lansmanını 2027’nin ilk çeyreğine kaydırdığını açıkladı.   Bu açıklamada Apple veya iPhone adı geçmese de",71
2026-06-16 11:29:30,X/Twitter,"Çinli teknoloji devi Hisense, Türkiye'ye geldi.  Dünya Kupası’nın da sponsorları arasında yer alan marka, Türkiye pazarında resmî operasyonlarını başlattığını açıkladı. Marka ilk etapta 2 farklı kategoride ülkemizde ürün satacak.  Türkiye’de ilk başta televizyon ve akıllı klima",56
2026-06-16 11:00:30,X/Twitter,"Hyundai, Türkiye'ye batarya montaj fabrikası kurdu.  Fabrikada yılda 40 bin bataryanın üretilecek otomobillere montajlanması hedefleniyor. Şimdiden 100 adet Ioniq 3'ün bataryaları bu fabrikada montajlandı ve araçlar test aşamasında.",54
2026-06-15 16:44:31,X/Twitter,Gelinim Mutfakta’da izleyicilere sorulmuş gibi yayınlanan sokak röportajı yapay zekâyla hazırlandı.   Röportajı izleyen yarışmacılar ise görüntüleri gerçek sanarak doğal tepkiler verdi. Kısa sürede dikkat çeken bu anlar sosyal medyada da gündem oldu.,32
2026-06-16 09:00:01,X/Twitter,"Togg T10F, yeni yazılım güncellemesiyle birlikte bataryasındaki gücü diğer cihazlarla paylaşmasını sağlayan V2L (Vehicle-To-Load) özelliğine kavuştu.  V2L: Elektrikli aracın bataryasındaki elektriği dışarıya aktararak kahve makinesi, mini buzdolabı, aydınlatma, dizüstü",48
2026-06-16 08:30:00,X/Twitter,Google'ın uçuş simülatörü tamamen ücretsiz oldu!  Google Earth’e girip Araçlar > Uçuş Simülatörü seçeneğine tıklayarak dünyanın herhangi bir yerinde uçuş deneyimi yaşanabiliyor.,91
2026-06-16 07:33:27,X/Twitter,"Microsoft’un Xbox tarafında stüdyo kapatma iddiaları büyüyor.    Bloomberg’e dayandırılan habere göre Compulsion Games dışında Double Fine ve Ninja Theory de kapanma riskiyle karşı karşıya.   İddialara göre Microsoft, bu stüdyolara bağımsızlıklarını geri satın alma şansı",20
2026-06-15 16:00:02,X/Twitter,Türkiye'de 7-14 Haziran tarihleri arasında en çok izlenen film ve diziler belli oldu.  Filmler: Nasıl Seks Yapacağız?   Yaz Evi   Uykucu  D.I.S.C.O.   Jurassic World: Yeniden Doğuş   Seks ve Şehir   Hizmetçi   Furiosa: Bir Çılgın Max Destanı   Yan Yana   Harry,165
2026-06-16 07:01:56,X/Twitter,"Togg T10X ve T10F modellerinin teknik verileri güncellendi.   Batarya kapasitesi 88,5 kWh’den 89,6 kWh’ye çıkarıldı.   T10X’te AC şarj kapasitesi önceki katalogda 22 kW iken yeni verilerde standart olarak 11 kW’a düşürüldü. Ayrıca 0-100 km/s hızlanma süresi 7,8 saniyeden 8,0",25
2026-06-15 09:30:01,X/Twitter,İDDİA: Yerli yapay zekâ modeli TÜBİTAK BİLGEM’in OpenAI API’sini kullandığı öne sürüldü.  Ancak TÜBİTAK’ın resmi açıklamalarına göre iki farklı yapay zekâ modeli bulunuyor. Yerli olarak geliştirilen model henüz herhangi bir platformda kullanıma açılmış değil. OpenAI API’sini,71
2026-06-15 09:00:30,X/Twitter,"Apple'ın bu sonbaharda tanıtması beklenen iPhone 18 Pro, iddialara göre büyük yenilikler sunmayan bir ""geçiş yılı"" modeli olacak!   Şu ana kadarki sızıntılar daha çok yeni Dark Cherry (şarap kırmızısı) rengine odaklanıyor.   Ekran altı Face ID ve daha küçük Dinamik Ada gibi",76
2026-06-15 08:06:21,X/Twitter,"TEK SORULUK DEV ANKET   Hangi müzik platformunu kullanıyorsunuz?  (Tercih sebebinizi yanıt olarak yazabilirsiniz! Fiyatı, kalitesi, sunduğu özellikler vs.)",25
2026-06-15 08:00:02,X/Twitter,"Ortalama bir Amerikalı artık net servet açısından Jeff Bezos’a, Jeff Bezos’un Elon Musk’a olduğundan daha yakın.  SpaceX’in halka arzının ardından Elon Musk’ın servetinin trilyoner seviyesine yükselmesi, servet dağılımında o kadar büyük bir fark yarattı ki, zenginlik ölçeğini",45
2026-06-15 07:23:09,X/Twitter,"TÜBİTAK BİLGEM’in geliştirdiği yerli ve millî yapay zekâ modeli Bilge duyuruldu!    Türkçe büyük dil modeli altyapısına sahip Bilge; doğal sohbet, soru yanıtlama ve Türkiye’nin ihtiyaçlarına yönelik yapay zekâ görevleri için geliştiriliyor.   Model henüz kullanıma açılmadı.",60
2026-06-15 07:00:00,X/Twitter,"Instagram'a yapay zekâ destekli ses efektleri geldi!  Meta, bu eğlenceli güncellemeyi 2026 FIFA Dünya Kupası heyecanıyla da harmanladı.   Pakete yeni eklenen filtreler arasında ""Korsan"", ""Ototon"" ve ""Büyükanne"" gibi seçeneklerin yanı sıra futbol çılgınları için özel bir ""Gol!""",11
2026-06-15 06:35:11,X/Twitter,"650 TL değerindeki MMORPG türündeki ""Wild Terra 2: New Lands"", Steam'de ücretsiz oldu.  Kalıcı olarak hemen kütüphanenize ekleyebilirsiniz.",130
2026-06-14 10:27:35,X/Twitter,"Kırıkkale’de düzenlenen milli maç etkinliğinde, iddiaya göre ekrana yanlışlıkla maç yayını yerine bir futbol oyunu yayını yansıtıldı. Bir süre oyunu milli maç sanarak izleyen vatandaşlar, durumun fark edilmesiyle tepki gösterdi.",28
2026-06-12 17:00:30,X/Twitter,"ASELSAN, yapay yağmur işine giriyor! ",152
2026-06-12 16:00:00,X/Twitter,"Toplam değeri 2.200 TL'den fazla 3 oyun, Xbox'ta bu hafta sonu ücretsiz oynanabilir oldu!  - Hell Let Loose  1.499 TL - State of Decay 2: Juggernaut Edition  300 TL - Blasphemous 2  499 TL",11
2026-06-12 15:05:22,X/Twitter,3 YILLIK İŞLEMCİ 1 YILLIK LAPTOP!  Casper Nirvana S100 Almaya Değer mi? İnceleme videomuz yayında!  - #işbirliği   video.webtekno.com/BQpeyD,7
2026-06-12 15:00:30,X/Twitter,Google yapay zeka destekli sağlık asistanı geliştirdi!,13
2026-06-12 11:00:04,X/Twitter,Yeni Hyundai i20’nin tasarımı baştan aşağı sızdırıldı.,144
2026-06-12 14:00:02,X/Twitter,"Logitech, katlanıp cebe girecek kadar küçülebilen ilk taşınabilir mouse'unu tanıttı!  Mobi Fold'un özellikleri:  79 gram ağırlık  4.000 DPI PixArt optik sensör  Bluetooth 5.0  Aynı anda 3 cihaza bağlanma  100 mAh pil ile 32 gün kullanım  Toz geçirmez silikon dış",34
